feature,importance
casualty_per_vehicle,0.18903553859079247
risk_x_casualty,0.08087691892518444
risk_score,0.06844252963086679
risk_score_w,0.06413330479027132
casualties_w,0.054418574708943776
risk_x_density,0.05360115926521432
casualties,0.05234451915954545
fatal_risk_flag,0.0444705008461556
visibility_enc,0.04258421451152038
traffic_density_enc,0.04226567818432649
risk_bucket,0.035842286021537384
vehicles_involved,0.03262874591980105
minor_flag,0.0268414473634814
weather_clear,0.017826489923504944
weather_fog,0.0152441292028492
speed_proxy,0.015043641936272781
traffic_signal,0.011357784272597163
hour,0.011056116478755356
is_peak_hour,0.010829416112037325
temperature,0.010217830972222267
month,0.008286024899034862
major_proxy,0.008056558989446624
lanes,0.007003020989005765
hour_bin,0.00642194536047796
weather_rain,0.00640949046250119
cause_distraction,0.005254624539773882
cause_poor road,0.00487638857016476
cause_weather,0.004786746332971086
is_weekend,0.004395301079210763
road_type_rural,0.004357206403030281
road_type_urban,0.004282424976167131
cause_overspeeding,0.004237614879989826
road_type_highway,0.004227979867537672
cause_drunk driving,0.004037536002362627
day_of_week_Tuesday,0.0038169588569521248
day_of_week_Friday,0.0034658880389368714
day_of_week_Wednesday,0.003427844961811891
day_of_week_Monday,0.003285659942982066
day_of_week_Thursday,0.003215499574313023
day_of_week_Saturday,0.003005105164359846
day_of_week_Sunday,0.0025390854618016923
state_Maharashtra,0.002000969563815397
city_Mumbai,0.0017356227239586231
city_Pune,0.0015585907409805485
city_Chandigarh,0.0014542975322202312
city_Bangalore,0.001425402733430502
state_Punjab,0.001396522347229589
state_West Bengal,0.001358457056623333
state_Karnataka,0.0013474908657756773
state_Telangana,0.0013458427251788925
city_Hyderabad,0.0013322902603998
state_Delhi,0.0013025407082183655
city_Chennai,0.0012912514056271766
state_Tamil Nadu,0.001276587230347937
city_Delhi,0.0012586582520923524
city_Kolkata,0.0012261407873950545
festival_none,0.00019002082798806564
festival_Diwali,2.2313914755312996e-05
festival_Holi,2.0758523655988604e-05
festival_Eid,6.509631595304794e-06
festival_New Year,0.0
